"row","status_id"
"1","1428260020957827073"
"2","1428260020869869570"
"3","1428260019573727243"
"4","1428219262619901958"
"5","1428260016633655296"
"6","1428260014301450243"
"7","1428226430547075075"
"8","1428172664892313602"
"9","1428260001827618826"
"10","1428259981309136899"
"11","1428259979430146050"
"12","1428233565041528836"
"13","1428253870816436226"
"14","1428247850576711684"
"15","1428259972337504258"
"16","1428259967857954820"
"17","1428259963407790087"
"18","1428259958965997569"
"19","1428243461698949122"
"20","1428259949780639744"
"21","1428259945934467072"
"22","1428259941173837827"
"23","1428259904670687233"
"24","1428259875910393871"
"25","1428259859032526849"
"26","1428259851461931011"
"27","1428259833535508484"
"28","1428257082445377536"
"29","1428258622786752512"
"30","1428259832700809217"
"31","1428259832214163462"
"32","1428259828531712004"
"33","1428259809820876800"
"34","1428243857393606660"
"35","1428238538617671682"
"36","1428241294820708354"
"37","1428201666914832389"
"38","1428259803785162752"
"39","1428152230729895937"
"40","1428259794687709194"
"41","1428259791625867266"
"42","1428259779516854277"
"43","1428259774207074307"
"44","1428259770914394112"
"45","1428259730779164675"
"46","1428209656372019202"
"47","1428255693140860928"
"48","1428209414767616001"
"49","1428224647674400771"
"50","1428209965160935429"
"51","1428254633714139144"
"52","1428259709560266756"
"53","1428140178267201537"
"54","1428259700777263105"
"55","1428132872091705344"
"56","1428157278285299712"
"57","1428169731069022209"
"58","1428183591150776323"
"59","1428130098931109892"
"60","1428183607424602112"
"61","1428183574306385920"
"62","1428143192608690176"
"63","1428131733631766534"
"64","1428251900630093832"
"65","1428221210941267974"
"66","1428239692571365379"
"67","1428221203412439044"
"68","1428183599342260229"
"69","1428132879268290561"
"70","1428134393529266181"
"71","1428158793389469699"
"72","1428162566971224068"
"73","1428221196227645446"
"74","1428183582460108800"
"75","1428259686780919808"
"76","1428259683614302209"
"77","1428232654466469889"
"78","1428259673401135111"
"79","1428253545296449537"
"80","1428259669710098433"
"81","1428189120451420160"
"82","1428175330221596676"
"83","1428214023619678213"
"84","1428259665255665669"
"85","1428228619520733184"
"86","1428227877623918593"
"87","1428221322623029253"
"88","1428162095439224832"
"89","1428166314422509568"
"90","1428259650160500740"
"91","1428224015563427847"
"92","1428259641700622341"
"93","1428259621706293256"
"94","1428259613032517639"
"95","1428259032905785345"
"96","1428259603700232192"
"97","1428259596435697668"
"98","1428259551741153280"
"99","1428259542266093568"
"100","1428259299852050441"
"101","1428259528085315584"
"102","1428259514982322178"
"103","1428259501170470917"
"104","1428259490328195074"
"105","1428156463965294595"
"106","1428144656391360514"
"107","1428259466961514499"
"108","1428259443897245702"
"109","1428259437010198528"
"110","1428249583382147073"
"111","1428258142530514945"
"112","1428255647812960258"
"113","1428259424364343297"
"114","1428259413882593286"
"115","1428259398120521730"
"116","1428259394731614209"
"117","1428259381469188098"
"118","1428241272964325379"
"119","1428259379074281474"
"120","1428259367095345161"
"121","1428259351517532167"
"122","1428259333649874944"
"123","1428259326959915020"
"124","1428203602590408710"
"125","1428259296001748993"
"126","1428258765795639298"
"127","1428259279354699778"
"128","1428234431429554180"
"129","1428232983161487361"
"130","1428259228452536325"
"131","1428259217639608320"
"132","1428259201999065093"
"133","1428259198366744579"
"134","1428259196315869192"
"135","1428258046900379649"
"136","1428254199528230916"
"137","1428198408406409217"
"138","1428234196821098499"
"139","1428196569216655362"
"140","1428259189147766784"
"141","1428259187587493889"
"142","1428259177915248642"
"143","1428259172525674504"
"144","1428259144788709380"
"145","1428259139634016257"
"146","1428259135041286144"
"147","1428229948754563072"
"148","1428255337434521600"
"149","1428259133178925057"
"150","1428257879140732932"
"151","1428255116600225792"
"152","1428256761681784835"
"153","1428259128590356480"
"154","1428259128233897988"
"155","1428259123288690691"
"156","1428259120659017729"
"157","1428259108189310978"
"158","1428251111190839301"
"159","1428259102573088770"
"160","1428257320186830848"
"161","1428259101612535811"
"162","1428259084302696449"
"163","1428217189090402309"
"164","1428245712349847552"
"165","1428259077596065796"
"166","1428259055294992387"
"167","1428259051931066368"
"168","1428259048915234816"
"169","1428259020805132290"
"170","1428259017768456194"
"171","1428259014752755714"
"172","1428259014618619915"
"173","1428259007421026306"
"174","1428257303267004416"
"175","1428248756709957636"
"176","1428259005001052161"
"177","1428258980288024576"
"178","1428249490788544514"
"179","1428178773896163333"
"180","1428258971270500352"
"181","1428258963083210752"
"182","1428258961292201985"
"183","1428258960897884164"
"184","1428258944900730880"
"185","1428258936054976518"
"186","1428258903121436674"
"187","1428258880757379081"
"188","1428258875657048065"
"189","1428258868363157504"
"190","1428258866505080835"
"191","1428252861012447233"
"192","1428258857776652295"
"193","1428256069575348229"
"194","1428253229368762371"
"195","1428258857709490176"
"196","1428172208573014021"
"197","1428258844682063874"
"198","1428176432786599940"
"199","1428257799864082435"
"200","1428258844384272385"
"201","1428189979545636871"
"202","1428258837044228098"
"203","1428197528965509125"
"204","1428208803065987078"
"205","1428225346927611912"
"206","1428198066427863047"
"207","1428258827187593216"
"208","1428258801845735429"
"209","1428248345219407872"
"210","1428258795960999939"
"211","1428258777350885382"
"212","1428258763929120770"
"213","1428258759592353797"
"214","1428258757247598596"
"215","1428258700834361345"
"216","1428194053548437506"
"217","1428258688301629442"
"218","1428192220306317315"
"219","1428209258559000577"
"220","1428258682043731973"
"221","1428258680290480130"
"222","1428258670240993284"
"223","1428258665774174208"
"224","1428258651836338185"
"225","1428258641417850882"
"226","1428253939531612163"
"227","1428244359695069190"
"228","1428258593359294465"
"229","1428247825884672000"
"230","1428245241354592257"
"231","1428255700321406979"
"232","1428251357442609152"
"233","1428258585142833154"
"234","1428257395235561473"
"235","1428258566864097280"
"236","1428149379937013763"
"237","1428144897614352392"
"238","1428255638078033921"
"239","1428150039508045825"
"240","1428142742442582017"
"241","1428148693673332739"
"242","1428150315363225602"
"243","1428255025319534593"
"244","1428250258279223298"
"245","1428209070591287297"
"246","1428258528469286916"
"247","1428258521414574080"
"248","1428239310508146689"
"249","1428258517325074438"
"250","1428258513961295872"
"251","1428258506625339393"
"252","1428248785428353025"
"253","1428246401364922377"
"254","1428251063933603840"
"255","1428244918624047108"
"256","1428258505551716352"
"257","1428254565036658690"
